,date,label_id,team,category,channel,platform,salesmethod,type,target_department,margin,orders,bids,sessions,registrations,margin_admin,margin_fixed_fee,margin_commission,ub
52,2023-02-22,1,Products,Products,,,,Target,Commercial,18930.018228937286,3053.228746602788,,,,,,,
53,2023-02-23,1,Products,Products,,,,Target,Commercial,33442.60066223802,5393.967848748068,,,,,,,
54,2023-02-24,1,Products,Products,,,,Target,Commercial,15355.973738158353,2476.769957767476,,,,,,,
55,2023-02-25,1,Products,Products,,,,Target,Commercial,17658.545732428614,2848.152537488486,,,,,,,
56,2023-02-26,1,Products,Products,,,,Target,Commercial,28446.097959933242,4588.080316118265,,,,,,,
57,2023-02-27,1,Products,Products,,,,Target,Commercial,20275.51790621558,3270.244823583158,,,,,,,
58,2023-02-28,1,Products,Products,,,,Target,Commercial,28649.274587541615,4620.850739926067,,,,,,,
59,2023-03-01,1,Products,Products,,,,Target,Commercial,20164.189799373875,3252.288677318367,,,,,,,
60,2023-03-02,1,Products,Products,,,,Target,Commercial,35622.94230161923,5745.635855099876,,,,,,,
61,2023-03-03,1,Products,Products,,,,Target,Commercial,16357.129996689295,2638.2467736595636,,,,,,,
62,2023-03-04,1,Products,Products,,,,Target,Commercial,18809.821703462934,3033.842210235957,,,,,,,
63,2023-03-05,1,Products,Products,,,,Target,Commercial,30300.684942756972,4887.20724883177,,,,,,,
64,2023-03-06,1,Products,Products,,,,Target,Commercial,21597.411391636324,3483.453450263923,,,,,,,
65,2023-03-07,1,Products,Products,,,,Target,Commercial,30517.107982203863,4922.114190678042,,,,,,,
66,2023-03-08,1,Products,Products,,,,Target,Commercial,20164.189799373875,3252.288677318367,,,,,,,
67,2023-03-09,1,Products,Products,,,,Target,Commercial,35622.94230161923,5745.635855099876,,,,,,,
68,2023-03-10,1,Products,Products,,,,Target,Commercial,16357.129996689295,2638.2467736595636,,,,,,,
69,2023-03-11,1,Products,Products,,,,Target,Commercial,18809.821703462934,3033.842210235957,,,,,,,
70,2023-03-12,1,Products,Products,,,,Target,Commercial,30300.684942756972,4887.20724883177,,,,,,,
71,2023-03-13,1,Products,Products,,,,Target,Commercial,21597.411391636324,3483.453450263923,,,,,,,
72,2023-03-14,1,Products,Products,,,,Target,Commercial,30517.107982203863,4922.114190678042,,,,,,,
73,2023-03-15,1,Products,Products,,,,Target,Commercial,20164.189799373875,3252.288677318367,,,,,,,
74,2023-03-16,1,Products,Products,,,,Target,Commercial,35622.94230161923,5745.635855099876,,,,,,,
75,2023-03-17,1,Products,Products,,,,Target,Commercial,16357.129996689295,2638.2467736595636,,,,,,,
76,2023-03-18,1,Products,Products,,,,Target,Commercial,18809.821703462934,3033.842210235957,,,,,,,
77,2023-03-19,1,Products,Products,,,,Target,Commercial,30300.684942756972,4887.20724883177,,,,,,,
78,2023-03-20,1,Products,Products,,,,Target,Commercial,21597.411391636324,3483.453450263923,,,,,,,
79,2023-03-21,1,Products,Products,,,,Target,Commercial,30517.107982203863,4922.114190678042,,,,,,,
80,2023-03-22,1,Products,Products,,,,Target,Commercial,20164.189799373875,3252.288677318367,,,,,,,
81,2023-03-23,1,Products,Products,,,,Target,Commercial,35622.94230161923,5745.635855099876,,,,,,,
82,2023-03-24,1,Products,Products,,,,Target,Commercial,16357.129996689295,2638.2467736595636,,,,,,,
83,2023-03-25,1,Products,Products,,,,Target,Commercial,18809.821703462934,3033.842210235957,,,,,,,
